1022
ABCBDAB BDCABA
ABCCDAB BDCACA
ABCEDAB BDCAEA
abc abg
bdf aeg
acefg abcdefg
ABCDGH AEDFHR
AGGTAB GXTXAYB
zaid sbdhas
dffss dsaf
gfsa gfsd
wyrew uhrdd
vghds wqet
dfuy hgus
juf dfj
bno hutas
hvgd jvu
dqw iuoi
kou fte
klio oiou
lku hjgsd
kjtyu jhde
LVKKU	AKSIG
OSCVR	ZCFOS
FWKJW	OCRBM
QTJOU	VBQMH
FXYDD	FHVAK
GFNWC	AZWGV
TIGNU	KBVBL
XNAFV	YVYIX
DXFGH	HFEQJ
PVXEJ	DICBR
ORXFF	YAQKX
MDOVI	OGALK
LFRIU	KWNHK
WARCY	RNBET
LRTZE	VFNBL
IOLNW	ZKNKU
OVJFC	QALJV
NAESJ	ESJKS
KRUUC	QINQQ
SJFJL	ELPET
JIZLN	CQNYH
QMUBO	EFLFC
MMSIL	NQPHZ
BQOXL	FRVUA
HSDCQ	QDXHI
QDHSF	BLLAN
DIBIH	KRNFL
USCSC	HLBDY
JKAEG	SOXLG
PVUQJ	PZOBB
PXBZH	NFMOO
LAFTM	EPFWW
EGUUC	EMFLF
GOQXE	YYLPJ
KKJJC	NGEYQ
SKVCQ	ZOKWE
SBRGJ	GRPMX
OAPSX	FCJKN
FARIK	OAOLB
QDKWM	CPYKM
VOFSN	WAOPF
UAQPG	CMXGH
RTQHA	YKSFI
VFCKM	VAHMG
QFZNN	ESKZC
ZJZPT	QHTID
ACIVV	VCHVG
JMXXV	WAREL
QZWLA	HHXNA
CRWHY	SDHBN
MMTSI	TETHD
BXODK	JRMES
FJGAS	MAPPF
PMAXT	AVFJR
CHJND	LULKA
EWAFK	JZNSU
GUMBU	ERDTS
UFLDX	JHQWM
ZQZGM	TMJMR
ZIKIB	JYWMF
ENCQQ	PUELB
RLWZW	RTARI
ISORG	AJHQY
XVFIU	EFSTB
QCHYE	OBXXL
FZTWE	KLARD
BNTMH	VNXPL
LCBEK	QIVNA
LDTDZ	SEOBZ
FSDXL	XJXQW
UUPDC	OUOOD
NOAUH	BQRQP
VOWUM	FPIYK
CTAKV	CNPBX
KOIPS	ZRQAN
GGFME	HGRRK
GFQIK	DXZMI
RPLKP	PFXRY
HXUAW	GSQRC
RDFXK	SHKQF
MDAJG	PCHUK
JVPHP	RGIHE
SLAHC	TQOQZ
CKOTH	WCTMY
XDDNC	USKDA
XFEMQ	KZJIR
PJQRM	XUBXQ
CGZRB	CZMQX
YCPVV	VZTRE
ZLPAQ	GUTKI
CEZEF	ZJZBQ
UKGXU	OZBKP
EGNPX	QXOFG
ONWXD	GVSNX
OVSPW	APPDU
LTMFF	EYJLG
IGGWZ	YHELV
NQQTM	ISCBC
MXUXI	LOWCO
HNITH	RSUIG
KELJV	YIUDU
YRIHM	MPNHR
WIRBZ	HEAPY
XWBEX	QGARO
ODJRJ	VACXE
WXMNI	KQOIX
SYDUY	YCCBE
IXQVL	YGRVQ
HZKQT	SQRRX
PGOZU	TCNTA
ONFAQ	KLYCM
FDWGY	MFVDU
HAAZN	ECORZ
PNEMD	KFICR
BIUNF	HKSKJ
BLRGF	RKJEW
IBICZ	PYVEK
